version,date
0.9.5,2010-02-12
0.9.6,2010-02-16
0.9.7,2010-02-17
0.9.8,2010-02-23
0.9.9,2010-02-25
0.9.10,2010-03-01
0.9.11,2010-03-09
0.9.12,2010-03-17
0.9.13,2010-03-23
0.9.14,2010-03-30
0.9.15,2010-04-01
0.9.16,2010-04-03
0.9.17,2010-04-07
0.9.18,2010-04-08
0.9.19,2010-04-12
0.9.20,2010-04-15
0.9.21,2010-04-16
0.9.22,2010-04-20
0.9.23,2010-04-20
0.9.24,2010-04-22
0.9.25,2010-05-03
0.9.26,
1.0.0.beta.1,
1.0.0.beta.6,2010-07-20
1.0.0.beta.7,2010-07-20
1.0.0.beta.8,2010-07-20
1.0.0.beta.9,2010-07-21
1.0.0.beta.10,2010-07-25
1.0.0.rc.1,2010-07-26
1.0.0.rc.2,2010-07-29
1.0.0.rc.3,2010-08-03
1.0.0.rc.4,2010-08-09
1.0.0.rc.5,2010-08-10
1.0.0.rc.6,2010-08-23
1.0.0,2010-08-29
1.0.1,2010-10-01
1.0.2,2010-10-02
1.0.3,2010-10-15
1.0.4,2010-11-12
1.0.5,2010-11-13
1.0.6,2010-11-16
1.0.7,2010-11-17
1.0.8,2011-01-18
1.0.9,2011-01-19
1.0.10,2011-02-01
1.0.11,2011-04-01
1.0.12,2011-04-08
1.0.13,2011-05-04
1.0.14,2011-05-27
1.0.15,2011-06-09
1.0.16,2011-08-08
1.0.17,2011-08-08
1.0.18,2011-08-16
1.0.19.rc,2011-09-13
1.0.20.rc,2011-09-18
1.0.20,2011-09-27
1.0.21.rc,2011-09-29
1.0.21,2011-09-30
1.1.pre,2011-01-21
1.1.pre.1,2011-02-02
1.1.pre.2,2011-04-28
1.1.pre.3,2011-05-04
1.1.pre.4,2011-05-05
1.1.pre.5,2011-06-11
1.1.pre.6,2011-08-08
1.1.pre.7,2011-08-08
1.1.pre.8,2011-08-13
1.1.pre.9,2011-09-18
1.1.pre.10,2011-09-27
1.1.rc,2011-10-03
1.1.rc.2,2011-12-06
1.1.rc.3,2011-12-08
1.1.rc.4,2011-12-14
1.1.rc.5,2011-12-14
1.1.rc.6,2011-12-22
1.1.rc.7,2011-12-29
1.1.rc.8,2012-03-03
1.1.0,2012-03-07
1.1.1,2012-03-14
1.1.2,2012-03-20
1.1.3,2012-03-23
1.1.4,2012-05-27
1.1.5,2012-07-17
1.2.0.pre,2012-05-04
1.2.0.pre.1,2012-05-27
1.2.0.rc,2012-07-17
1.2.0.rc.2,2012-08-08
1.2.0,2012-08-30
1.2.1,2012-09-19
1.2.2,2012-11-14
1.2.3,2012-11-29
1.2.4,2013-02-12
1.2.5,2013-02-24
1.3.0.pre,2012-11-29
1.3.0.pre.2,2012-12-09
1.3.0.pre.3,2012-12-21
1.3.0.pre.4,2013-01-03
1.3.0.pre.5,2013-01-09
1.3.0.pre.6,2013-01-22
1.3.0.pre.7,2013-01-22
1.3.0.pre.8,2013-02-12
1.3.0,2013-02-24
1.3.1,2013-03-03
1.3.2,2013-03-07
1.3.3,2013-03-13
1.3.4,2013-03-15
1.3.5,2013-04-03
1.3.6,2014-01-08
1.4.0.pre.1,2013-08-04
1.4.0.rc.1,2013-09-29
1.5.0.rc.1,2013-11-09
1.5.0.rc.2,2013-12-18
1.5.0,2013-12-26
1.5.1,2013-12-28
1.5.2,2014-01-10
1.5.3,2014-02-06
1.6.0,2014-03-28
1.6.1,2014-04-02
1.6.2,2014-04-13
1.6.3,2014-06-16
1.6.4,2014-07-17
1.6.5,2014-07-23
1.6.6,2014-08-23
1.6.7,2014-10-19
1.7.0,2014-08-13
1.7.1,2014-08-20
1.7.2,2014-08-23
1.7.3,2014-09-14
1.7.4,2014-10-19
1.7.5,2014-11-10
1.7.6,2014-11-11
1.7.7,2014-11-19
1.7.8,2014-12-06
1.7.9,2014-12-09
1.7.10,2014-12-29
1.7.11,2015-01-04
1.7.12,2015-01-08
1.7.13,2015-02-07
1.7.14,2015-03-30
1.7.15,2015-04-29
1.8.0.pre,2015-01-26
1.8.0.rc,2015-01-26
1.8.0,2015-02-10
1.8.1,2015-02-13
1.8.2,2015-02-14
1.8.3,2015-02-24
1.8.4,2015-03-05
1.8.5,2015-03-11
1.8.6,2015-03-30
1.8.7,2015-04-07
1.8.8,2015-04-29
1.8.9,2015-05-02
1.9.0.pre,2015-03-11
1.9.0.pre.1,2015-03-11
1.9.0.rc,2015-03-13
1.9.0,2015-03-20
1.9.1,2015-03-21
1.9.2,2015-03-30
1.9.3,2015-04-12
1.9.4,2015-04-13
1.9.5,2015-04-29
1.9.6,2015-05-02
1.9.7,2015-05-11
1.9.8,2015-05-12
1.9.9,2015-05-16
1.9.10,2015-06-22
1.10.0.pre,2015-05-03
1.10.0.pre.1,2015-05-05
1.10.0.pre.2,2015-05-07
1.10.0.rc,2015-05-16
1.10.0,2015-05-28
1.10.1,2015-05-28
1.10.2,2015-05-29
1.10.3,2015-06-03
1.10.4,2015-06-16
1.10.5,2015-06-24
1.10.6,2015-07-22
1.11.0.pre.1,2015-11-29
1.11.0.pre.2,2015-12-06
1.11.0,2015-12-12
1.11.1,2015-12-15
1.11.2,2015-12-15
1.12.0.pre.1,2016-02-09
1.12.0.pre.2,2016-02-26
1.12.0.rc,2016-03-13
1.12.0.rc.2,2016-04-15
1.12.0.rc.3,2016-04-19
1.12.0.rc.4,2016-04-21
1.12.0,2016-04-28
1.12.1,2016-04-30
1.12.2,2016-05-04
1.12.3,2016-05-06
1.12.4,2016-05-16
1.12.5,2016-05-25
1.12.6,2016-10-10
1.13.0.pre.1,2016-06-20
1.13.0.rc.1,2016-06-27
1.13.0.rc.2,2016-08-21
1.13.0,2016-09-05
1.13.1,2016-09-13
1.13.2,2016-09-30
1.13.3,2016-10-10
1.13.4,2016-10-11
1.13.5,2016-10-15
1.13.6,2016-10-22
1.13.7,2016-12-25
1.14.0.pre.1,2016-12-29
1.14.0.pre.2,2017-01-11
1.14.0,2017-01-20
1.14.1,2017-01-21
1.14.2,2017-01-22
1.14.3,2017-01-24
1.14.4,2017-02-12
1.14.5,2017-02-22
1.14.6,2017-03-03
1.15.0.pre.1,2017-04-16
1.15.0.pre.2,2017-04-23
1.15.0.pre.3,2017-04-30
1.15.0.pre.4,2017-05-10
1.15.0,2017-05-19
1.15.1,2017-06-02
1.15.2,2017-07-17
1.15.3,2017-07-21
1.15.4,2017-08-19
1.16.0.pre.1,2017-09-04
1.16.0.pre.2,
2.0.0.pre.1,
